Latitude Longitude RSSI(dBm)
40.908191 -73.111546 -75.000000
40.908209 -73.111559 -71.000000
40.908251 -73.111574 -79.000000
40.908273 -73.111588 -79.000000
40.908294 -73.111597 -75.000000
40.908345 -73.111605 -73.000000
40.908372 -73.111646 -75.000000
40.908392 -73.111681 -77.000000
40.908435 -73.111711 -73.000000
40.908454 -73.111713 -71.000000
40.908468 -73.111713 -71.000000
40.908517 -73.111722 -73.000000
40.908541 -73.111719 -73.000000
40.908562 -73.111723 -73.000000
40.908609 -73.111771 -75.000000
40.908627 -73.111780 -73.000000
40.908644 -73.111775 -71.000000
40.908673 -73.111791 -75.000000
40.908701 -73.111830 -73.000000
40.908752 -73.111849 -77.000000
40.908788 -73.111960 -75.000000
40.908785 -73.111987 -79.000000
40.908780 -73.111981 -83.000000
40.908790 -73.111998 -75.000000
40.908788 -73.111998 -73.000000
40.908790 -73.112004 -73.000000
40.908790 -73.112005 -73.000000
40.908790 -73.112005 -77.000000
40.908790 -73.112001 -79.000000
40.908790 -73.112000 -67.000000
40.908790 -73.111999 -63.000000
40.908790 -73.112000 -71.000000
40.908790 -73.112000 -77.000000
40.908790 -73.112001 -83.000000
40.908779 -73.112026 -75.000000
40.908762 -73.112064 -75.000000
40.908744 -73.112102 -77.000000
40.908702 -73.112210 -73.000000
40.908700 -73.112224 -69.000000
40.908729 -73.112275 -67.000000
40.908753 -73.112293 -69.000000
40.908778 -73.112311 -77.000000
40.908841 -73.112357 -79.000000
40.908868 -73.112373 -77.000000
40.908894 -73.112386 -79.000000
40.908976 -73.112421 -75.000000
40.909000 -73.112433 -75.000000
40.909049 -73.112464 -79.000000
40.909065 -73.112475 -79.000000
40.909074 -73.112481 -79.000000
40.909457 -73.112794 -71.000000
40.909602 -73.112884 -87.000000
40.909640 -73.112914 -87.000000
40.909680 -73.112944 -81.000000
40.909696 -73.112959 -83.000000
40.909768 -73.112994 -79.000000
40.909802 -73.113011 -81.000000
40.909820 -73.113024 -79.000000
40.909877 -73.113046 -75.000000
40.909959 -73.113068 -81.000000
40.909995 -73.113081 -81.000000
40.910035 -73.113110 -81.000000
40.910053 -73.113124 -79.000000
40.910087 -73.113139 -79.000000
40.910109 -73.113145 -79.000000
40.910165 -73.113163 -73.000000
40.910185 -73.113181 -71.000000
40.910340 -73.113359 -81.000000
40.910343 -73.113389 -81.000000
40.910525 -73.114267 -81.000000
40.910525 -73.114267 -81.000000
40.911131 -73.117044 -95.000000
40.911130 -73.117086 -95.000000
40.911131 -73.117174 -93.000000
40.911124 -73.117192 -95.000000
40.911119 -73.117214 -97.000000
40.911113 -73.117240 -93.000000
40.911099 -73.117268 -93.000000
40.911066 -73.117283 -89.000000
40.911055 -73.117293 -87.000000
40.911035 -73.117307 -93.000000
40.911035 -73.117301 -95.000000
40.911028 -73.117295 -93.000000
40.911037 -73.117352 -93.000000
40.911039 -73.117378 -97.000000
40.911047 -73.117477 -97.000000
40.911050 -73.117514 -93.000000
40.911050 -73.117551 -93.000000
40.911036 -73.117655 -97.000000
40.911032 -73.117686 -97.000000
40.911069 -73.117715 -97.000000
40.911079 -73.117726 -101.000000
40.911100 -73.117750 -97.000000
40.911103 -73.117761 -97.000000
40.911124 -73.117804 -99.000000
40.911134 -73.117815 -101.000000
40.911142 -73.117850 -97.000000
40.911133 -73.117883 -97.000000
40.911133 -73.117883 -93.000000
40.911070 -73.118392 -93.000000
40.910931 -73.118707 -93.000000
40.910846 -73.118725 -89.000000
40.910945 -73.118665 -93.000000
40.910995 -73.118652 -91.000000
40.911144 -73.118587 -93.000000
40.911193 -73.118581 -91.000000
40.911210 -73.118625 -89.000000
40.911194 -73.118699 -87.000000
40.911186 -73.118762 -87.000000
40.911184 -73.118818 -89.000000
40.911184 -73.118867 -91.000000
40.911183 -73.118911 -93.000000
40.911183 -73.118965 -89.000000
40.911182 -73.119021 -91.000000
40.911187 -73.119072 -97.000000
40.911197 -73.119119 -97.000000
40.911234 -73.119209 -93.000000
40.911248 -73.119252 -93.000000
40.911261 -73.119291 -93.000000
40.911273 -73.119336 -95.000000
40.911277 -73.119379 -93.000000
40.911290 -73.119421 -93.000000
40.911294 -73.119463 -91.000000
40.911297 -73.119501 -89.000000
40.911311 -73.119516 -91.000000
40.911344 -73.119533 -91.000000
40.911354 -73.119576 -85.000000
40.911356 -73.119617 -85.000000
40.911366 -73.119654 -87.000000
40.911369 -73.119684 -87.000000
40.911501 -73.120487 -81.000000
40.911643 -73.120504 -85.000000
40.911621 -73.120526 -85.000000
40.911645 -73.120570 -83.000000
40.911665 -73.120622 -85.000000
40.911667 -73.120646 -85.000000
40.911660 -73.120647 -87.000000
40.911658 -73.120719 -87.000000
40.911669 -73.120846 -81.000000
40.911671 -73.120864 -81.000000
40.911836 -73.121209 -75.000000
40.911849 -73.121203 -71.000000
40.911887 -73.121249 -75.000000
40.911949 -73.121269 -73.000000
40.908017 -73.111066 -89.000000
40.908045 -73.111127 -87.000000
40.908054 -73.111158 -87.000000
40.908060 -73.111302 -73.000000
40.908068 -73.111348 -73.000000
40.908168 -73.111418 -77.000000
40.908196 -73.111430 -77.000000
40.908222 -73.111446 -83.000000
40.908304 -73.111500 -81.000000
40.908330 -73.111518 -79.000000
40.908369 -73.111563 -79.000000
40.908389 -73.111575 -79.000000
40.908411 -73.111580 -73.000000
40.908415 -73.111577 -71.000000
40.908414 -73.111595 -81.000000
40.908413 -73.111601 -83.000000
40.908408 -73.111614 -87.000000
40.908409 -73.111614 -79.000000
40.908409 -73.111619 -79.000000
40.908409 -73.111626 -87.000000
40.908409 -73.111625 -89.000000
40.908409 -73.111626 -87.000000
40.908410 -73.111626 -87.000000
40.908410 -73.111627 -83.000000
40.908409 -73.111627 -85.000000
40.908409 -73.111627 -85.000000
40.908409 -73.111628 -85.000000
40.908409 -73.111628 -83.000000
40.908409 -73.111628 -83.000000
40.908409 -73.111628 -85.000000
40.908410 -73.111628 -91.000000
40.908645 -73.111859 -87.000000
40.908897 -73.112128 -79.000000
40.909066 -73.112261 -79.000000
40.909628 -73.112632 -83.000000
40.909893 -73.112784 -85.000000
40.910270 -73.112949 -85.000000
40.910883 -73.113108 -95.000000
40.911203 -73.113154 -97.000000
40.911605 -73.113122 -103.000000
40.912217 -73.113003 -101.000000
40.911636 -73.120660 -77.000000
40.911641 -73.120775 -85.000000
40.911660 -73.120827 -79.000000
40.911661 -73.120848 -79.000000
40.911868 -73.121234 -75.000000
40.911910 -73.121226 -73.000000
40.911954 -73.121209 -71.000000
40.912002 -73.121211 -77.000000
40.912023 -73.121212 -75.000000
40.907141 -73.110495 -95.000000
40.907187 -73.110522 -99.000000
40.907211 -73.110556 -97.000000
40.907244 -73.110593 -99.000000
40.907274 -73.110612 -99.000000
40.907304 -73.110627 -97.000000
40.907341 -73.110641 -97.000000
40.907380 -73.110653 -97.000000
40.907414 -73.110676 -91.000000
40.907441 -73.110704 -95.000000
40.907486 -73.110759 -89.000000
40.907499 -73.110782 -89.000000
40.907531 -73.110830 -93.000000
40.907563 -73.110866 -93.000000
40.907598 -73.110907 -91.000000
40.907632 -73.110934 -87.000000
40.907665 -73.110954 -89.000000
40.907725 -73.110992 -91.000000
40.907836 -73.111022 -89.000000
40.907869 -73.111025 -89.000000
40.907896 -73.110966 -87.000000
40.907896 -73.110924 -89.000000
40.907892 -73.110882 -93.000000
40.907892 -73.110856 -95.000000
40.907897 -73.110784 -97.000000
40.907918 -73.110723 -99.000000
40.907922 -73.110662 -101.000000
40.907911 -73.110601 -101.000000
40.907917 -73.110542 -99.000000
40.907916 -73.110500 -97.000000
40.907909 -73.110471 -101.000000
40.907927 -73.110369 -99.000000
40.907935 -73.110322 -101.000000
40.908205 -73.111539 -73.000000
40.908247 -73.111563 -71.000000
40.908281 -73.111586 -71.000000
40.908312 -73.111596 -69.000000
40.908371 -73.111639 -69.000000
40.908413 -73.111686 -67.000000
40.908496 -73.111750 -77.000000
40.908520 -73.111775 -79.000000
40.908554 -73.111809 -75.000000
40.908611 -73.111821 -65.000000
40.908803 -73.111942 -71.000000
40.908845 -73.112004 -79.000000
40.908845 -73.111999 -77.000000
40.908821 -73.111985 -71.000000
40.908813 -73.111978 -75.000000
40.908821 -73.111946 -67.000000
40.908819 -73.111969 -69.000000
40.908807 -73.111970 -73.000000
40.908782 -73.111977 -79.000000
40.908785 -73.111978 -77.000000
40.908792 -73.111968 -79.000000
40.908790 -73.111970 -77.000000
40.908792 -73.111959 -67.000000
40.908796 -73.111973 -71.000000
40.908795 -73.111974 -73.000000
40.908785 -73.111986 -71.000000
40.908771 -73.112019 -75.000000
40.908755 -73.112065 -75.000000
40.908735 -73.112123 -73.000000
40.908725 -73.112152 -75.000000
40.908710 -73.112196 -77.000000
40.908710 -73.112267 -81.000000
40.908727 -73.112281 -73.000000
40.908791 -73.112330 -77.000000
40.908831 -73.112358 -81.000000
