Latitude Longitude RSSI(dBm)
40.914121 -73.115668 -73.000000
40.914157 -73.115858 -75.000000
40.914140 -73.115895 -71.000000
40.914127 -73.115808 -71.000000
40.914140 -73.115785 -71.000000
40.914143 -73.115727 -73.000000
40.914149 -73.115738 -75.000000
40.914152 -73.115746 -77.000000
40.914153 -73.115748 -79.000000
40.914152 -73.115748 -81.000000
40.914152 -73.115752 -79.000000
40.914152 -73.115753 -77.000000
40.914151 -73.115734 -77.000000
40.914151 -73.115724 -77.000000
40.914155 -73.115744 -75.000000
40.914217 -73.115986 -73.000000
40.914284 -73.116435 -73.000000
40.914426 -73.116962 -75.000000
40.914624 -73.117394 -71.000000
40.914867 -73.117787 -65.000000
40.915160 -73.118450 -77.000000
40.915218 -73.118633 -73.000000
40.915234 -73.118684 -73.000000
40.915212 -73.118691 -81.000000
40.915890 -73.123488 -57.000000
40.915892 -73.123471 -59.000000
40.915889 -73.123459 -61.000000
40.915884 -73.123449 -57.000000
40.915870 -73.123436 -51.000000
40.915793 -73.123402 -51.000000
40.915779 -73.123401 -51.000000
40.915742 -73.123431 -51.000000
40.915631 -73.123416 -51.000000
40.915621 -73.123407 -51.000000
40.915604 -73.123405 -53.000000
40.915506 -73.123408 -51.000000
40.915481 -73.123403 -51.000000
40.915438 -73.123409 -51.000000
40.915382 -73.123414 -53.000000
40.915345 -73.123430 -51.000000
40.915259 -73.123466 -51.000000
40.915227 -73.123475 -51.000000
40.915203 -73.123479 -53.000000
40.915161 -73.123487 -55.000000
40.915072 -73.123507 -57.000000
40.915057 -73.123570 -59.000000
40.915069 -73.123615 -51.000000
40.915062 -73.123635 -55.000000
40.915034 -73.123651 -53.000000
40.915002 -73.123699 -51.000000
40.914933 -73.123801 -51.000000
40.914921 -73.123820 -51.000000
40.914884 -73.123858 -51.000000
40.914875 -73.123883 -57.000000
40.914826 -73.123934 -53.000000
40.914801 -73.123941 -51.000000
40.914778 -73.123954 -53.000000
40.914661 -73.124127 -51.000000
40.914153 -73.115761 -77.000000
40.914190 -73.115903 -73.000000
40.914185 -73.115897 -73.000000
40.914653 -73.121531 -79.000000
40.914722 -73.121571 -75.000000
40.914750 -73.121595 -73.000000
40.914774 -73.121626 -71.000000
40.914821 -73.121682 -77.000000
40.914847 -73.121705 -75.000000
40.914865 -73.121713 -75.000000
40.914906 -73.121723 -73.000000
40.914937 -73.121732 -71.000000
40.914969 -73.121733 -67.000000
40.914958 -73.121592 -69.000000
40.915062 -73.121738 -69.000000
40.915113 -73.121741 -67.000000
40.915195 -73.121772 -67.000000
40.915216 -73.121779 -69.000000
